date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold,Revenue,,
01-Apr-21,Sikkim,2-Wheelers,0,398,"₹ 3,38,30,000.00",,
01-Apr-21,Sikkim,4-Wheelers,0,361,"₹ 54,15,00,000.00",,
01-May-21,Sikkim,2-Wheelers,0,113,"₹ 96,05,000.00",,
01-May-21,Sikkim,4-Wheelers,0,98,"₹ 14,70,00,000.00",,
01-Jun-21,Sikkim,2-Wheelers,0,229,"₹ 1,94,65,000.00",,
01-Jun-21,Sikkim,4-Wheelers,0,244,"₹ 36,60,00,000.00",,
01-Jul-21,Sikkim,2-Wheelers,0,458,"₹ 3,89,30,000.00",,
01-Jul-21,Sikkim,4-Wheelers,0,452,"₹ 67,80,00,000.00",,
01-Aug-21,Sikkim,2-Wheelers,0,489,"₹ 4,15,65,000.00",,
01-Aug-21,Sikkim,4-Wheelers,0,408,"₹ 61,20,00,000.00",,
01-Sep-21,Sikkim,2-Wheelers,0,540,"₹ 4,59,00,000.00",,
01-Sep-21,Sikkim,4-Wheelers,0,355,"₹ 53,25,00,000.00",,
01-Oct-21,Sikkim,2-Wheelers,0,455,"₹ 3,86,75,000.00",,
01-Oct-21,Sikkim,4-Wheelers,0,345,"₹ 51,75,00,000.00",,
01-Nov-21,Sikkim,2-Wheelers,0,478,"₹ 4,06,30,000.00",,
01-Nov-21,Sikkim,4-Wheelers,0,351,"₹ 52,65,00,000.00",,
01-Dec-21,Sikkim,2-Wheelers,0,454,"₹ 3,85,90,000.00",,
01-Dec-21,Sikkim,4-Wheelers,0,394,"₹ 59,10,00,000.00",,
01-Jan-22,Sikkim,2-Wheelers,0,400,"₹ 3,40,00,000.00",,
01-Jan-22,Sikkim,4-Wheelers,0,270,"₹ 40,50,00,000.00",,
01-Feb-22,Sikkim,2-Wheelers,0,384,"₹ 3,26,40,000.00",,
01-Feb-22,Sikkim,4-Wheelers,0,371,"₹ 55,65,00,000.00",,
01-Mar-22,Sikkim,2-Wheelers,0,460,"₹ 3,91,00,000.00",,
01-Mar-22,Sikkim,4-Wheelers,0,390,"₹ 58,50,00,000.00",,
01-Apr-22,Sikkim,2-Wheelers,0,455,"₹ 3,86,75,000.00",,
01-Apr-22,Sikkim,4-Wheelers,0,380,"₹ 57,00,00,000.00",,
01-May-22,Sikkim,2-Wheelers,0,461,"₹ 3,91,85,000.00",,
01-May-22,Sikkim,4-Wheelers,0,421,"₹ 63,15,00,000.00",,
01-Jun-22,Sikkim,2-Wheelers,0,429,"₹ 3,64,65,000.00",,
01-Jun-22,Sikkim,4-Wheelers,0,446,"₹ 66,90,00,000.00",,
01-Jul-22,Sikkim,2-Wheelers,0,409,"₹ 3,47,65,000.00",,
01-Jul-22,Sikkim,4-Wheelers,0,439,"₹ 65,85,00,000.00",,
01-Aug-22,Sikkim,2-Wheelers,0,394,"₹ 3,34,90,000.00",,
01-Aug-22,Sikkim,4-Wheelers,0,421,"₹ 63,15,00,000.00",,
01-Sep-22,Sikkim,2-Wheelers,0,443,"₹ 3,76,55,000.00",,
01-Sep-22,Sikkim,4-Wheelers,0,581,"₹ 87,15,00,000.00",,
01-Oct-22,Sikkim,2-Wheelers,0,371,"₹ 3,15,35,000.00",,
01-Oct-22,Sikkim,4-Wheelers,0,340,"₹ 51,00,00,000.00",,
01-Nov-22,Sikkim,2-Wheelers,0,431,"₹ 3,66,35,000.00",,
01-Nov-22,Sikkim,4-Wheelers,0,411,"₹ 61,65,00,000.00",,
01-Dec-22,Sikkim,2-Wheelers,0,274,"₹ 2,32,90,000.00",,
01-Dec-22,Sikkim,4-Wheelers,0,288,"₹ 43,20,00,000.00",,
01-Jan-23,Sikkim,2-Wheelers,0,470,"₹ 3,99,50,000.00",,
01-Jan-23,Sikkim,4-Wheelers,0,420,"₹ 63,00,00,000.00",,
01-Feb-23,Sikkim,2-Wheelers,0,324,"₹ 2,75,40,000.00",,
01-Feb-23,Sikkim,4-Wheelers,0,364,"₹ 54,60,00,000.00",,
01-Mar-23,Sikkim,2-Wheelers,0,454,"₹ 3,85,90,000.00",,
01-Mar-23,Sikkim,4-Wheelers,0,505,"₹ 75,75,00,000.00",,
01-Apr-23,Sikkim,2-Wheelers,0,465,"₹ 3,95,25,000.00",,
01-Apr-23,Sikkim,4-Wheelers,0,439,"₹ 65,85,00,000.00",,
01-May-23,Sikkim,2-Wheelers,0,507,"₹ 4,30,95,000.00",,
01-May-23,Sikkim,4-Wheelers,0,448,"₹ 67,20,00,000.00",,
01-Jun-23,Sikkim,2-Wheelers,0,517,"₹ 4,39,45,000.00",,
01-Jun-23,Sikkim,4-Wheelers,0,457,"₹ 68,55,00,000.00",,
01-Jul-23,Sikkim,2-Wheelers,0,423,"₹ 3,59,55,000.00",,
01-Jul-23,Sikkim,4-Wheelers,0,371,"₹ 55,65,00,000.00",,
01-Aug-23,Sikkim,2-Wheelers,0,465,"₹ 3,95,25,000.00",,
01-Aug-23,Sikkim,4-Wheelers,0,460,"₹ 69,00,00,000.00",,
01-Sep-23,Sikkim,2-Wheelers,0,546,"₹ 4,64,10,000.00",,
01-Sep-23,Sikkim,4-Wheelers,0,509,"₹ 76,35,00,000.00",,
01-Oct-23,Sikkim,2-Wheelers,0,398,"₹ 3,38,30,000.00",,
01-Oct-23,Sikkim,4-Wheelers,0,389,"₹ 58,35,00,000.00",,
01-Nov-23,Sikkim,2-Wheelers,0,470,"₹ 3,99,50,000.00",,
01-Nov-23,Sikkim,4-Wheelers,0,403,"₹ 60,45,00,000.00",,
01-Dec-23,Sikkim,2-Wheelers,0,365,"₹ 3,10,25,000.00",,
01-Dec-23,Sikkim,4-Wheelers,0,318,"₹ 47,70,00,000.00",,
01-Jan-24,Sikkim,2-Wheelers,0,509,"₹ 4,32,65,000.00",,
01-Jan-24,Sikkim,4-Wheelers,0,422,"₹ 63,30,00,000.00",,
01-Feb-24,Sikkim,2-Wheelers,0,408,"₹ 3,46,80,000.00",,
01-Feb-24,Sikkim,4-Wheelers,0,375,"₹ 56,25,00,000.00",,
01-Mar-24,Sikkim,2-Wheelers,0,399,"₹ 3,39,15,000.00",,
01-Mar-24,Sikkim,4-Wheelers,0,455,"₹ 68,25,00,000.00",,
01-Apr-21,Andaman & Nicobar Island,2-Wheelers,0,515,"₹ 4,37,75,000.00",,
01-Apr-21,Arunachal Pradesh,2-Wheelers,0,1256,"₹ 10,67,60,000.00",,
01-Apr-21,Arunachal Pradesh,4-Wheelers,0,724,"₹ 1,08,60,00,000.00",,
01-Apr-21,Assam,4-Wheelers,0,6576,"₹ 9,86,40,00,000.00",,
01-Apr-21,Chhattisgarh,4-Wheelers,0,1563,"₹ 2,34,45,00,000.00",,
01-Apr-21,DNH and DD,4-Wheelers,0,278,"₹ 41,70,00,000.00",,
01-Apr-21,Jammu and Kashmir,4-Wheelers,0,5107,"₹ 7,66,05,00,000.00",,
01-Apr-21,Ladakh,2-Wheelers,0,2,"₹ 1,70,000.00",,
01-Apr-21,Ladakh,4-Wheelers,0,20,"₹ 3,00,00,000.00",,
01-Apr-21,Manipur,4-Wheelers,0,808,"₹ 1,21,20,00,000.00",,
01-Apr-21,Meghalaya,2-Wheelers,0,1189,"₹ 10,10,65,000.00",,
01-Apr-21,Mizoram,2-Wheelers,0,1507,"₹ 12,80,95,000.00",,
01-Apr-21,Mizoram,4-Wheelers,0,281,"₹ 42,15,00,000.00",,
01-Apr-21,Nagaland,2-Wheelers,0,561,"₹ 4,76,85,000.00",,
01-Apr-21,Nagaland,4-Wheelers,0,747,"₹ 1,12,05,00,000.00",,
01-Apr-21,Puducherry,4-Wheelers,0,655,"₹ 98,25,00,000.00",,
01-Apr-21,Tripura,2-Wheelers,0,2906,"₹ 24,70,10,000.00",,
01-Apr-21,Tripura,4-Wheelers,0,289,"₹ 43,35,00,000.00",,
01-May-21,Andaman & Nicobar Island,2-Wheelers,0,4,"₹ 3,40,000.00",,
01-May-21,Andaman & Nicobar Island,4-Wheelers,0,1,"₹ 15,00,000.00",,
01-May-21,Arunachal Pradesh,2-Wheelers,0,552,"₹ 4,69,20,000.00",,
01-May-21,Arunachal Pradesh,4-Wheelers,0,302,"₹ 45,30,00,000.00",,
01-May-21,Assam,2-Wheelers,0,14723,"₹ 1,25,14,55,000.00",,
01-May-21,Assam,4-Wheelers,0,3295,"₹ 4,94,25,00,000.00",,
01-May-21,Bihar,4-Wheelers,0,2249,"₹ 3,37,35,00,000.00",,
01-May-21,Chandigarh,2-Wheelers,0,411,"₹ 3,49,35,000.00",,
01-May-21,Chhattisgarh,4-Wheelers,0,1387,"₹ 2,08,05,00,000.00",,
01-May-21,DNH and DD,2-Wheelers,0,452,"₹ 3,84,20,000.00",,
01-May-21,DNH and DD,4-Wheelers,0,202,"₹ 30,30,00,000.00",,
01-May-21,Delhi,2-Wheelers,0,22,"₹ 18,70,000.00",,
01-May-21,Delhi,4-Wheelers,0,21,"₹ 3,15,00,000.00",,
01-May-21,Jammu and Kashmir,4-Wheelers,0,2372,"₹ 3,55,80,00,000.00",,
01-May-21,Ladakh,2-Wheelers,0,11,"₹ 9,35,000.00",,
01-May-21,Ladakh,4-Wheelers,0,70,"₹ 10,50,00,000.00",,
01-May-21,Madhya Pradesh,4-Wheelers,0,195,"₹ 29,25,00,000.00",,
01-May-21,Manipur,2-Wheelers,0,288,"₹ 2,44,80,000.00",,
01-May-21,Manipur,4-Wheelers,0,9,"₹ 1,35,00,000.00",,
01-May-21,Meghalaya,2-Wheelers,0,332,"₹ 2,82,20,000.00",,
01-May-21,Mizoram,2-Wheelers,0,15,"₹ 12,75,000.00",,
01-May-21,Mizoram,4-Wheelers,0,4,"₹ 60,00,000.00",,
01-May-21,Nagaland,2-Wheelers,0,125,"₹ 1,06,25,000.00",,
01-May-21,Nagaland,4-Wheelers,0,126,"₹ 18,90,00,000.00",,
01-May-21,Odisha,4-Wheelers,0,722,"₹ 1,08,30,00,000.00",,
01-May-21,Punjab,4-Wheelers,0,5202,"₹ 7,80,30,00,000.00",,
01-May-21,Tripura,2-Wheelers,0,2063,"₹ 17,53,55,000.00",,
01-May-21,Tripura,4-Wheelers,0,192,"₹ 28,80,00,000.00",,
01-May-21,Uttarakhand,4-Wheelers,0,1145,"₹ 1,71,75,00,000.00",,
01-Jun-21,Andaman & Nicobar Island,2-Wheelers,0,2,"₹ 1,70,000.00",,
01-Jun-21,Arunachal Pradesh,2-Wheelers,0,727,"₹ 6,17,95,000.00",,
01-Jun-21,Arunachal Pradesh,4-Wheelers,0,565,"₹ 84,75,00,000.00",,
01-Jun-21,Ladakh,2-Wheelers,0,3,"₹ 2,55,000.00",,
01-Jun-21,Ladakh,4-Wheelers,0,112,"₹ 16,80,00,000.00",,
01-Jun-21,Manipur,2-Wheelers,0,89,"₹ 75,65,000.00",,
01-Jun-21,Manipur,4-Wheelers,0,18,"₹ 2,70,00,000.00",,
01-Jun-21,Meghalaya,2-Wheelers,0,354,"₹ 3,00,90,000.00",,
01-Jun-21,Meghalaya,4-Wheelers,0,246,"₹ 36,90,00,000.00",,
01-Jun-21,Mizoram,2-Wheelers,0,648,"₹ 5,50,80,000.00",,
01-Jun-21,Mizoram,4-Wheelers,0,298,"₹ 44,70,00,000.00",,
01-Jun-21,Nagaland,2-Wheelers,0,42,"₹ 35,70,000.00",,
01-Jun-21,Nagaland,4-Wheelers,0,54,"₹ 8,10,00,000.00",,
01-Jun-21,Puducherry,4-Wheelers,0,445,"₹ 66,75,00,000.00",,
01-Jun-21,Tripura,4-Wheelers,0,185,"₹ 27,75,00,000.00",,
01-Jul-21,Andaman & Nicobar Island,2-Wheelers,0,467,"₹ 3,96,95,000.00",,
01-Jul-21,Arunachal Pradesh,2-Wheelers,0,994,"₹ 8,44,90,000.00",,
01-Jul-21,Arunachal Pradesh,4-Wheelers,0,661,"₹ 99,15,00,000.00",,
01-Jul-21,Assam,4-Wheelers,0,4988,"₹ 7,48,20,00,000.00",,
01-Jul-21,DNH and DD,4-Wheelers,0,276,"₹ 41,40,00,000.00",,
01-Jul-21,Ladakh,2-Wheelers,0,51,"₹ 43,35,000.00",,
01-Jul-21,Ladakh,4-Wheelers,0,552,"₹ 82,80,00,000.00",,
01-Jul-21,Manipur,2-Wheelers,0,474,"₹ 4,02,90,000.00",,
01-Jul-21,Manipur,4-Wheelers,0,68,"₹ 10,20,00,000.00",,
01-Jul-21,Meghalaya,2-Wheelers,0,726,"₹ 6,17,10,000.00",,
01-Jul-21,Mizoram,2-Wheelers,0,1096,"₹ 9,31,60,000.00",,
01-Jul-21,Mizoram,4-Wheelers,0,219,"₹ 32,85,00,000.00",,
01-Jul-21,Nagaland,2-Wheelers,0,583,"₹ 4,95,55,000.00",,
01-Jul-21,Nagaland,4-Wheelers,0,1039,"₹ 1,55,85,00,000.00",,
01-Jul-21,Puducherry,4-Wheelers,0,866,"₹ 1,29,90,00,000.00",,
01-Jul-21,Tripura,2-Wheelers,0,2211,"₹ 18,79,35,000.00",,
01-Jul-21,Tripura,4-Wheelers,0,352,"₹ 52,80,00,000.00",,
01-Aug-21,Andaman & Nicobar Island,2-Wheelers,0,406,"₹ 3,45,10,000.00",,
01-Aug-21,Arunachal Pradesh,2-Wheelers,0,1126,"₹ 9,57,10,000.00",,
01-Aug-21,Arunachal Pradesh,4-Wheelers,0,758,"₹ 1,13,70,00,000.00",,
01-Aug-21,DNH and DD,4-Wheelers,0,321,"₹ 48,15,00,000.00",,
01-Aug-21,Himachal Pradesh,4-Wheelers,0,3641,"₹ 5,46,15,00,000.00",,
01-Aug-21,Jammu and Kashmir,4-Wheelers,0,5430,"₹ 8,14,50,00,000.00",,
01-Aug-21,Ladakh,2-Wheelers,0,30,"₹ 25,50,000.00",,
01-Aug-21,Ladakh,4-Wheelers,0,459,"₹ 68,85,00,000.00",,
01-Aug-21,Manipur,2-Wheelers,0,1016,"₹ 8,63,60,000.00",,
01-Aug-21,Manipur,4-Wheelers,0,561,"₹ 84,15,00,000.00",,
01-Aug-21,Meghalaya,2-Wheelers,0,1041,"₹ 8,84,85,000.00",,
01-Aug-21,Meghalaya,4-Wheelers,0,826,"₹ 1,23,90,00,000.00",,
01-Aug-21,Mizoram,2-Wheelers,0,1057,"₹ 8,98,45,000.00",,
01-Aug-21,Mizoram,4-Wheelers,0,240,"₹ 36,00,00,000.00",,
01-Aug-21,Nagaland,2-Wheelers,0,577,"₹ 4,90,45,000.00",,
01-Aug-21,Nagaland,4-Wheelers,0,763,"₹ 1,14,45,00,000.00",,
01-Aug-21,Tripura,2-Wheelers,0,2462,"₹ 20,92,70,000.00",,
01-Aug-21,Tripura,4-Wheelers,0,462,"₹ 69,30,00,000.00",,
01-Sep-21,Andaman & Nicobar Island,2-Wheelers,0,329,"₹ 2,79,65,000.00",,
01-Sep-21,Andaman & Nicobar Island,4-Wheelers,0,87,"₹ 13,05,00,000.00",,
01-Sep-21,Arunachal Pradesh,2-Wheelers,0,1260,"₹ 10,71,00,000.00",,
01-Sep-21,Arunachal Pradesh,4-Wheelers,0,637,"₹ 95,55,00,000.00",,
01-Sep-21,Assam,4-Wheelers,0,6036,"₹ 9,05,40,00,000.00",,
01-Sep-21,DNH and DD,4-Wheelers,0,348,"₹ 52,20,00,000.00",,
01-Sep-21,Ladakh,2-Wheelers,0,26,"₹ 22,10,000.00",,
01-Sep-21,Ladakh,4-Wheelers,0,444,"₹ 66,60,00,000.00",,
01-Sep-21,Manipur,2-Wheelers,0,3492,"₹ 29,68,20,000.00",,
01-Sep-21,Manipur,4-Wheelers,0,1202,"₹ 1,80,30,00,000.00",,
01-Sep-21,Meghalaya,2-Wheelers,0,1396,"₹ 11,86,60,000.00",,
01-Sep-21,Meghalaya,4-Wheelers,0,905,"₹ 1,35,75,00,000.00",,
01-Sep-21,Mizoram,2-Wheelers,0,1465,"₹ 12,45,25,000.00",,
01-Sep-21,Mizoram,4-Wheelers,0,264,"₹ 39,60,00,000.00",,
01-Sep-21,Nagaland,4-Wheelers,0,681,"₹ 1,02,15,00,000.00",,
01-Sep-21,Tripura,2-Wheelers,0,2736,"₹ 23,25,60,000.00",,
01-Sep-21,Tripura,4-Wheelers,0,403,"₹ 60,45,00,000.00",,
01-Oct-21,Andaman & Nicobar Island,2-Wheelers,0,360,"₹ 3,06,00,000.00",,
01-Oct-21,Arunachal Pradesh,2-Wheelers,0,1109,"₹ 9,42,65,000.00",,
01-Oct-21,Arunachal Pradesh,4-Wheelers,0,570,"₹ 85,50,00,000.00",,
01-Oct-21,Assam,4-Wheelers,0,5877,"₹ 8,81,55,00,000.00",,
01-Oct-21,Ladakh,4-Wheelers,0,289,"₹ 43,35,00,000.00",,
01-Oct-21,Manipur,4-Wheelers,0,916,"₹ 1,37,40,00,000.00",,
01-Oct-21,Meghalaya,2-Wheelers,0,1414,"₹ 12,01,90,000.00",,
01-Oct-21,Meghalaya,4-Wheelers,0,722,"₹ 1,08,30,00,000.00",,
01-Oct-21,Mizoram,2-Wheelers,0,1886,"₹ 16,03,10,000.00",,
01-Oct-21,Mizoram,4-Wheelers,0,283,"₹ 42,45,00,000.00",,
01-Oct-21,Nagaland,2-Wheelers,0,650,"₹ 5,52,50,000.00",,
01-Oct-21,Nagaland,4-Wheelers,0,567,"₹ 85,05,00,000.00",,
01-Oct-21,Puducherry,4-Wheelers,0,609,"₹ 91,35,00,000.00",,
01-Oct-21,Tripura,2-Wheelers,0,3015,"₹ 25,62,75,000.00",,
01-Oct-21,Tripura,4-Wheelers,0,366,"₹ 54,90,00,000.00",,
01-Nov-21,Andaman & Nicobar Island,2-Wheelers,0,413,"₹ 3,51,05,000.00",,
01-Nov-21,Andaman & Nicobar Island,4-Wheelers,0,125,"₹ 18,75,00,000.00",,
01-Nov-21,Arunachal Pradesh,2-Wheelers,0,1262,"₹ 10,72,70,000.00",,
01-Nov-21,Arunachal Pradesh,4-Wheelers,0,646,"₹ 96,90,00,000.00",,
01-Nov-21,Assam,4-Wheelers,0,5618,"₹ 8,42,70,00,000.00",,
01-Nov-21,DNH and DD,4-Wheelers,0,330,"₹ 49,50,00,000.00",,
01-Nov-21,Himachal Pradesh,4-Wheelers,0,4496,"₹ 6,74,40,00,000.00",,
01-Nov-21,Jammu and Kashmir,4-Wheelers,0,4709,"₹ 7,06,35,00,000.00",,
01-Nov-21,Ladakh,2-Wheelers,0,28,"₹ 23,80,000.00",,
01-Nov-21,Ladakh,4-Wheelers,0,287,"₹ 43,05,00,000.00",,
01-Nov-21,Manipur,4-Wheelers,0,875,"₹ 1,31,25,00,000.00",,
01-Nov-21,Meghalaya,2-Wheelers,0,1442,"₹ 12,25,70,000.00",,
01-Nov-21,Meghalaya,4-Wheelers,0,806,"₹ 1,20,90,00,000.00",,
01-Nov-21,Mizoram,2-Wheelers,0,1820,"₹ 15,47,00,000.00",,
01-Nov-21,Mizoram,4-Wheelers,0,328,"₹ 49,20,00,000.00",,
01-Nov-21,Nagaland,2-Wheelers,0,592,"₹ 5,03,20,000.00",,
01-Nov-21,Nagaland,4-Wheelers,0,692,"₹ 1,03,80,00,000.00",,
01-Nov-21,Tripura,2-Wheelers,0,3843,"₹ 32,66,55,000.00",,
01-Nov-21,Tripura,4-Wheelers,0,326,"₹ 48,90,00,000.00",,
01-Dec-21,Andaman & Nicobar Island,2-Wheelers,0,376,"₹ 3,19,60,000.00",,
01-Dec-21,Arunachal Pradesh,2-Wheelers,0,1036,"₹ 8,80,60,000.00",,
01-Dec-21,Arunachal Pradesh,4-Wheelers,0,709,"₹ 1,06,35,00,000.00",,
01-Dec-21,Jammu and Kashmir,4-Wheelers,0,5306,"₹ 7,95,90,00,000.00",,
01-Dec-21,Ladakh,2-Wheelers,0,15,"₹ 12,75,000.00",,
01-Dec-21,Ladakh,4-Wheelers,0,167,"₹ 25,05,00,000.00",,
01-Dec-21,Manipur,4-Wheelers,0,849,"₹ 1,27,35,00,000.00",,
01-Dec-21,Meghalaya,2-Wheelers,0,1101,"₹ 9,35,85,000.00",,
01-Dec-21,Meghalaya,4-Wheelers,0,888,"₹ 1,33,20,00,000.00",,
01-Dec-21,Mizoram,2-Wheelers,0,1740,"₹ 14,79,00,000.00",,
01-Dec-21,Mizoram,4-Wheelers,0,376,"₹ 56,40,00,000.00",,
01-Dec-21,Nagaland,2-Wheelers,0,353,"₹ 3,00,05,000.00",,
01-Dec-21,Nagaland,4-Wheelers,0,540,"₹ 81,00,00,000.00",,
01-Dec-21,Tripura,4-Wheelers,0,352,"₹ 52,80,00,000.00",,
01-Jan-22,Andaman & Nicobar Island,2-Wheelers,0,336,"₹ 2,85,60,000.00",,
01-Jan-22,Andaman & Nicobar Island,4-Wheelers,0,90,"₹ 13,50,00,000.00",,
01-Jan-22,Arunachal Pradesh,2-Wheelers,0,950,"₹ 8,07,50,000.00",,
01-Jan-22,Arunachal Pradesh,4-Wheelers,0,766,"₹ 1,14,90,00,000.00",,
01-Jan-22,Assam,4-Wheelers,0,5550,"₹ 8,32,50,00,000.00",,
01-Jan-22,DNH and DD,4-Wheelers,0,358,"₹ 53,70,00,000.00",,
01-Jan-22,Jammu and Kashmir,4-Wheelers,0,3963,"₹ 5,94,45,00,000.00",,
01-Jan-22,Ladakh,4-Wheelers,0,150,"₹ 22,50,00,000.00",,
01-Jan-22,Manipur,4-Wheelers,0,687,"₹ 1,03,05,00,000.00",,
01-Jan-22,Meghalaya,2-Wheelers,0,1112,"₹ 9,45,20,000.00",,
01-Jan-22,Meghalaya,4-Wheelers,0,1063,"₹ 1,59,45,00,000.00",,
01-Jan-22,Mizoram,2-Wheelers,0,1387,"₹ 11,78,95,000.00",,
01-Jan-22,Mizoram,4-Wheelers,0,311,"₹ 46,65,00,000.00",,
01-Jan-22,Nagaland,2-Wheelers,0,410,"₹ 3,48,50,000.00",,
01-Jan-22,Nagaland,4-Wheelers,0,722,"₹ 1,08,30,00,000.00",,
01-Jan-22,Puducherry,4-Wheelers,0,758,"₹ 1,13,70,00,000.00",,
01-Jan-22,Tripura,4-Wheelers,0,394,"₹ 59,10,00,000.00",,
01-Feb-22,Andaman & Nicobar Island,2-Wheelers,0,388,"₹ 3,29,80,000.00",,
01-Feb-22,Andaman & Nicobar Island,4-Wheelers,0,112,"₹ 16,80,00,000.00",,
01-Feb-22,Arunachal Pradesh,2-Wheelers,0,858,"₹ 7,29,30,000.00",,
01-Feb-22,Arunachal Pradesh,4-Wheelers,0,671,"₹ 1,00,65,00,000.00",,
01-Feb-22,Ladakh,2-Wheelers,0,15,"₹ 12,75,000.00",,
01-Feb-22,Ladakh,4-Wheelers,0,44,"₹ 6,60,00,000.00",,
01-Feb-22,Manipur,4-Wheelers,0,834,"₹ 1,25,10,00,000.00",,
01-Feb-22,Meghalaya,2-Wheelers,0,1145,"₹ 9,73,25,000.00",,
01-Feb-22,Mizoram,2-Wheelers,0,1599,"₹ 13,59,15,000.00",,
01-Feb-22,Mizoram,4-Wheelers,0,354,"₹ 53,10,00,000.00",,
01-Feb-22,Nagaland,2-Wheelers,0,504,"₹ 4,28,40,000.00",,
01-Feb-22,Nagaland,4-Wheelers,0,773,"₹ 1,15,95,00,000.00",,
01-Feb-22,Puducherry,4-Wheelers,0,622,"₹ 93,30,00,000.00",,
01-Feb-22,Tripura,4-Wheelers,0,340,"₹ 51,00,00,000.00",,
01-Mar-22,Andaman & Nicobar Island,2-Wheelers,0,383,"₹ 3,25,55,000.00",,
